group_id,main_title_guess,main_file_count,supplement_file_count,total_file_count,primary_file,main_files,supplement_files
040,040_susceptibility_evaluation_to_fire_blight_001_Susceptibility Evaluation to Fire Blight and Genome-Wide Associations within a Collection of Asturian Apple Accessions,1,0,1,040_susceptibility_evaluation_to_fire_blight_001_Susceptibility Evaluation to Fire Blight and Genome-Wide Associations within a Collection of Asturian Apple Accessions.pdf,040_susceptibility_evaluation_to_fire_blight_001_Susceptibility Evaluation to Fire Blight and Genome-Wide Associations within a Collection of Asturian Apple Accessions.pdf,
041,041_quantitative_trait_locus_mapping_for_fir_001_Quantitative Trait Locus Mapping for Fire Blight Resistance in an F2 Population of Malus fusca MAL0045 Uncovers Novel Resistance Loci,1,0,1,041_quantitative_trait_locus_mapping_for_fir_001_Quantitative Trait Locus Mapping for Fire Blight Resistance in an F2 Population of Malus fusca MAL0045 Uncovers Novel Resistance Loci.pdf,041_quantitative_trait_locus_mapping_for_fir_001_Quantitative Trait Locus Mapping for Fire Blight Resistance in an F2 Population of Malus fusca MAL0045 Uncovers Novel Resistance Loci.pdf,
042,"042_identification_and_marker_development_of_001_Identification and marker development of a moderate-effect fire blight resistance QTL in M. sieversii, the primary progenitor of domesticated apples",1,0,1,"042_identification_and_marker_development_of_001_Identification and marker development of a moderate-effect fire blight resistance QTL in M. sieversii, the primary progenitor of domesticated apples.pdf","042_identification_and_marker_development_of_001_Identification and marker development of a moderate-effect fire blight resistance QTL in M. sieversii, the primary progenitor of domesticated apples.pdf",
043,043_apple_ripening_nac_transcription_factor_001_Apple Ripening Is Controlled by a NAC Transcription Factor,1,0,1,043_apple_ripening_nac_transcription_factor_001_Apple Ripening Is Controlled by a NAC Transcription Factor.pdf,043_apple_ripening_nac_transcription_factor_001_Apple Ripening Is Controlled by a NAC Transcription Factor.pdf,
044,044_mderf3_mderf118_firmness_crispness_001_Role of MdERF3 and MdERF118 natural variations in apple flesh firmness crispness retainability,1,0,1,044_mderf3_mderf118_firmness_crispness_001_Role of MdERF3 and MdERF118 natural variations in apple flesh firmness crispness retainability.pdf,044_mderf3_mderf118_firmness_crispness_001_Role of MdERF3 and MdERF118 natural variations in apple flesh firmness crispness retainability.pdf,
045,045_mdpae10_pectin_acetylesterase_shelf_001_Natural variations in MdPAE10 contribute to prolonged apple fruit shelf life,1,0,1,045_mdpae10_pectin_acetylesterase_shelf_001_Natural variations in MdPAE10 contribute to prolonged apple fruit shelf life.pdf,045_mdpae10_pectin_acetylesterase_shelf_001_Natural variations in MdPAE10 contribute to prolonged apple fruit shelf life.pdf,
046,046_large_effect_qtl_titratable_acidity_001_Large-Effect QTLs for Titratable Acidity and Soluble Solids Content in Honeycrisp-Derived Apple,1,0,1,046_large_effect_qtl_titratable_acidity_001_Large-Effect QTLs for Titratable Acidity and Soluble Solids Content in Honeycrisp-Derived Apple.pdf,046_large_effect_qtl_titratable_acidity_001_Large-Effect QTLs for Titratable Acidity and Soluble Solids Content in Honeycrisp-Derived Apple.pdf,
047,047_linker_histone_malic_acid_sorbitol_001_A linker histone acts as a transcription factor to orchestrate malic acid accumulation in apple,1,0,1,047_linker_histone_malic_acid_sorbitol_001_A linker histone acts as a transcription factor to orchestrate malic acid accumulation in apple.pdf,047_linker_histone_malic_acid_sorbitol_001_A linker histone acts as a transcription factor to orchestrate malic acid accumulation in apple.pdf,
048,048_malate_citrate_metabolism_review_001_Molecular orchestration of malate and citrate metabolism in fruit quality,1,0,1,048_malate_citrate_metabolism_review_001_Molecular orchestration of malate and citrate metabolism in fruit quality.pdf,048_malate_citrate_metabolism_review_001_Molecular orchestration of malate and citrate metabolism in fruit quality.pdf,
049,049_genomic_prediction_fruit_texture_001_Genomic prediction of fruit texture and training population optimization in apple,1,0,1,049_genomic_prediction_fruit_texture_001_Genomic prediction of fruit texture and training population optimization in apple.pdf,049_genomic_prediction_fruit_texture_001_Genomic prediction of fruit texture and training population optimization in apple.pdf,
050,050_two_qtls_high_fruit_acidity_001_Identification of two QTLs associated with high fruit acidity in apple using pooled genome sequencing,1,0,1,050_two_qtls_high_fruit_acidity_001_Identification of two QTLs associated with high fruit acidity in apple using pooled genome sequencing.pdf,050_two_qtls_high_fruit_acidity_001_Identification of two QTLs associated with high fruit acidity in apple using pooled genome sequencing.pdf,
